Taxonomy Code,Zheln Tag,Physician Specialty,Specialty Group
AR,"",Abdominal Radiology,Radiology
AS,"",Abdominal Surgery,Surgery
ADM,"",Addiction Medicine,Other
ADP,"",Addiction Psychiatry,Psychiatry
AMF,"",Adolescent Medicine,Family/General Practice
AMI,"",Adolescent Medicine,Internal Medicine
ADL,"",Adolescent Medicine,Pediatrics
ACA,"",Adult Cardiothoracic Anesthesiology,Anesthesiology
CHD,"",Adult Congenital Heart Disease,Internal Medicine
OAR,"",Adult Reconstructive Orthopedics,Orthopedics
AHF,"",Advanced Heart Failure and Transplant Cardiology,Internal Medicine
ASO,"",Advanced Surgical Oncology,Surgery
AM,"",Aerospace Medicine,Preventive Medicine
A,"",Allergy,Allergy and Immunology
AI,"",Allergy & Immunology,Allergy and Immunology
ATP,"",Anatomic Pathology,Pathology
PTH,"",Anatomic/Clinical Pathology,Pathology
AN,"",Anesthesiology,Anesthesiology
ACC,"",Anesthesiology Critical Care Medicine,Emergency Medicine
BBK,"",Blood Banking/Transfusion Medicine,Pathology
BIN,"",Brain Injury Medicine,Neurology
BIP,"",Brain Injury Medicine,Physical Medicine & Rehab
BIN,"",Brain Injury Medicine,Psychiatry
ICE,"",Cardiac Electrophysiology,Cardiology
CTR,"",Cardiothoracic Radiology,Radiology
CD,"",Cardiovascular Diseases,Cardiology
PCH,"",Chemical Pathology,Pathology
CAP,"",Child Abuse Pediatrics,Pediatrics
CHP,"",Child and Adolescent Psychiatry,Psychiatry
CHN,"",Child Neurology,Neurology
DDL,"",Clinical & Laboratory Dermatological Immunology,Dermatology
ILI,"",Clinical & Laboratory Immunology,Internal Medicine
PLI,"",Clinical & Laboratory Immunology,Pediatrics
CBG,"",Clinical Biochemical Genetics,Internal Medicine
CCG,"",Clinical Cytogenetics,Internal Medicine
CG,"",Clinical Genetics,Medical Genetics
IAN,"",Clinical Informatics,Anesthesiology
CIE,"",Clinical Informatics,Emergency Medicine
CIF,"",Clinical Informatics,Family/General Practice
CIP,"",Clinical Informatics,Pathology
CID,"",Clinical Informatics,Pediatrics
CIM,"",Clinical Informatics,Preventive Medicine
CLI,"",Clinical Informatics (Internal Medicine),Internal Medicine
ALI,"",Clinical Laboratory Immunology,Allergy and Immunology
CMG,"",Clinical Molecular Genetics,Medical Genetics
CN,"",Clinical Neurophysiology,Neurology
CLP,"",Clinical Pathology,Pathology
PA,"",Clinical Pharmacology,Other
CRS,"",Colon & Rectal Surgery,Surgery
CHS,"",Congenital Cardiac Surgery,Surgery
CS,"",Cosmetic Surgery,Surgery
CFS,"",Craniofacial Surgery,Plastic Surgery
CCA,"",Critical Care Medicine,Anesthesiology
CCE,"",Critical Care Medicine,Emergency Medicine
CCM,"",Critical Care Medicine,Internal Medicine
OCC,"",Critical Care Medicine,Obstetrics/Gynecology
PCP,"",Cytopathology,Pathology
DS,"",Dermatologic Surgery,Surgery
D,"",Dermatology,Dermatology
DMP,"",Dermatopathology,Dermatology
DMP,"",Dermatopathology,Pathology
DBP,"",Developmental-Behavioral Pediatrics,Pediatrics
DIA,"",Diabetes,Endocrinology/Diabetes/Metabolism
DR,"",Diagnostic Radiology,Radiology
EMS,"",Emergency Medical Services,Emergency Medicine
EM,"",Emergency Medicine,Emergency Medicine
END,"","Endocrinology, Diabetes, & Metabolism",Endocrinology/Diabetes/Metabolism
ES,"",Endovascular Surgical Neuroradiology,Neurological Surgery
ESN,"",Endovascular Surgical Neuroradiology,Neurological Surgery
ENR,"",Endovascular Surgical Neuroradiology,Neurology
EP,"",Epidemiology,Other
EPL,"",Epilepsy,Neurology
FPS,"",Facial Plastic Surgery,Plastic Surgery
FM,"",Family Medicine,Family/General Practice
FP,"",Family Practice,Family/General Practice
FPR,"",Female Pelvic Medicine and Reconstructive Surgery,Obstetrics/Gynecology
UPR,"",Female Pelvic Medicine and Reconstructive Surgery,Urology
OFA,"",Foot & Ankle Orthopedics,Orthopedics
FOP,"",Forensic Pathology,Pathology
PFP,"",Forensic Psychiatry,Psychiatry
GE,"",Gastroenterology,Internal Medicine
GP,"",General Practice,Family/General Practice
GPM,"",General Preventive Medicine,Preventive Medicine
GS,"",General Surgery,Surgery
FPG,"",Geriatric Medicine,Geriatrics
IMG,"",Geriatric Medicine,Geriatrics
PYG,"",Geriatric Psychiatry,Geriatrics
GO,"",Gynecological Oncology,Oncology
GYN,"",Gynecology,Obstetrics/Gynecology
HSO,"",Hand Surgery,Orthopedics
HSP,"",Hand Surgery,Plastic Surgery
HS,"",Hand Surgery,Surgery
HSS,"",Hand Surgery,Surgery
HNS,"",Head & Neck Surgery,Surgery
HEM,"",Hematology,Internal Medicine
HMP,"",Hematology,Pathology
HO,"",Hematology/Oncology,Oncology
HEP,"",Hepatology,Internal Medicine
HPA,"",Hospice & Palliative Medicine,Anesthesiology
HPE,"",Hospice & Palliative Medicine,Emergency Medicine
HPF,"",Hospice & Palliative Medicine,Family/General Practice
HPI,"",Hospice & Palliative Medicine,Internal Medicine
HPN,"",Hospice & Palliative Medicine,Neurology
HPO,"",Hospice & Palliative Medicine,Obstetrics/Gynecology
HPP,"",Hospice & Palliative Medicine,Pediatrics
HPM,"",Hospice & Palliative Medicine,Physical Medicine & Rehab
HPR,"",Hospice & Palliative Medicine,Physical Medicine & Rehab
HPN,"",Hospice & Palliative Medicine,Psychiatry
HPD,"",Hospice & Palliative Medicine,Radiology
HPS,"",Hospice & Palliative Medicine,Surgery
HOS,"",Hospitalist,Other
IG,"",Immunology,Allergy and Immunology
ID,"",Infectious Disease,Internal Medicine
IM,"",Internal Medicine,Internal Medicine
IC,"",Interventional Cardiology,Cardiology
IRD,"",Interventional Radiology – Independent,Cardiology
IRI,"",Interventional Radiology – Integrated,Radiology
LM,"",Legal Medicine,Other
MFM,"",Maternal & Fetal Medicine,Obstetrics/Gynecology
MBG,"",Medical Biochemical Genetics,Medical Genetics
MG,"",Medical Genetics,Medical Genetics
MDM,"",Medical Management,Other
MM,"",Medical Microbiology,Pathology
ON,"",Medical Oncology,Oncology
MDP,"",Medical Physics,Radiology
ETX,"",Medical Toxicology,Emergency Medicine
PDT,"",Medical Toxicology,Pediatrics
PTX,"",Medical Toxicology,Preventive Medicine
MGP,"",Molecular Genetic Pathology,Pathology
MGG,"",Molecular Genetic Pathology (Medical Genetics),Medical Genetics
OMO,"",Musculoskeletal Oncology,Oncology
MSR,"",Musculoskeletal Radiology,Radiology
NPM,"",Neonatal-Perinatal Medicine,Pediatrics
NEP,"",Nephrology,Internal Medicine
NDN,"",Neurodevelopmental Disabilities,Neurology
NDP,"",Neurodevelopmental Disabilities,Pediatrics
NS,"",Neurological Surgery,Neurological Surgery
NN,"",Neurology,Neurology
N,"",Neurology,Neurology
NMN,"",Neuromuscular Medicine,Neurology
NMP,"",Neuromuscular Medicine,Physical Medicine & Rehab
NP,"",Neuropathology,Pathology
NUP,"",Neuropsychiatry,Psychiatry
RNR,"",Neuroradiology,Radiology
NO,"",Neurotology (Otolaryngology),Otolaryngology
NC,"",Nuclear Cardiology,Cardiology
NM,"",Nuclear Medicine,Other
NR,"",Nuclear Radiology,Radiology
NTR,"",Nutrition,Internal Medicine
