PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29906016","Dermatology on Google","Hill MK, Patel RR, Anand P, Dellavalle RP.","Dermatol Online J. 2018 Apr 15;24(4):13030/qt6cz3q82h.","Hill MK","Dermatol Online J","2018","2018/06/16","","",""
"29922286","Fake News or Weak Science? Visibility and Characterization of Antivaccine Webpages Returned by Google in Different Languages and Countries","Arif N, Al-Jefri M, Bizzi IH, Perano GB, Goldman M, Haq I, Chua KL, Mengozzi M, Neunez M, Smith H, Ghezzi P.","Front Immunol. 2018 Jun 5;9:1215. doi: 10.3389/fimmu.2018.01215. eCollection 2018.","Arif N","Front Immunol","2018","2018/06/21","PMC5996113","","10.3389/fimmu.2018.01215"
"26888071","Best of BJSM online: highlights from the blog, podcasts, YouTube page, Google+ and more!","Khan K.","Br J Sports Med. 2016 Mar;50(5):258. doi: 10.1136/bjsports-2016-096014.","Khan K","Br J Sports Med","2016","2016/02/19","","","10.1136/bjsports-2016-096014"
"17884971","Comparison of PubMed, Scopus, Web of Science, and Google Scholar: strengths and weaknesses","Falagas ME, Pitsouni EI, Malietzis GA, Pappas G.","FASEB J. 2008 Feb;22(2):338-42. doi: 10.1096/fj.07-9492LSF. Epub 2007 Sep 20.","Falagas ME","FASEB J","2008","2007/09/22","","","10.1096/fj.07-9492LSF"
"30346492","Google Ranking of Plastic Surgeons Values Social Media Presence Over Academic Pedigree and Experience","Dorfman RG, Mahmood E, Ren A, Turin SY, Vaca EE, Fine NA, Schierle CF.","Aesthet Surg J. 2019 Mar 14;39(4):447-451. doi: 10.1093/asj/sjy285.","Dorfman RG","Aesthet Surg J","2019","2018/10/23","","","10.1093/asj/sjy285"
"29951201","Biased online media coverage: chiropractic and stroke in google news","Al-Azdee M, Perle SM, He B.","Chiropr Man Therap. 2018 Jun 21;26:21. doi: 10.1186/s12998-018-0189-8. eCollection 2018.","Al-Azdee M","Chiropr Man Therap","2018","2018/06/29","PMC6011337","","10.1186/s12998-018-0189-8"
"30126832","A Process Evaluation of a Web-Based Mental Health Portal (WalkAlong) Using Google Analytics","Song MJ, Ward J, Choi F, Nikoo M, Frank A, Shams F, Tabi K, Vigo D, Krausz M.","JMIR Ment Health. 2018 Aug 20;5(3):e50. doi: 10.2196/mental.8594.","Song MJ","JMIR Ment Health","2018","2018/08/22","PMC6121139","","10.2196/mental.8594"
"31412380","All I Have Learned, I Have Learned from Google: Why Today's Facial Rejuvenation Patients are Prone to Misinformation, and the Steps We can take to Contend with Unreliable Information","Mehta N, Gupta A, Nissan M.","Facial Plast Surg. 2019 Aug;35(4):387-392. doi: 10.1055/s-0039-1693033. Epub 2019 Aug 14.","Mehta N","Facial Plast Surg","2019","2019/08/15","","","10.1055/s-0039-1693033"
"29483069","Open Availability of Patient Medical Photographs in Google Images Search Results: Cross-Sectional Study of Transgender Research","Marshall Z, Brunger F, Welch V, Asghari S, Kaposy C.","J Med Internet Res. 2018 Feb 26;20(2):e70. doi: 10.2196/jmir.8787.","Marshall Z","J Med Internet Res","2018","2018/02/28","PMC5847816","","10.2196/jmir.8787"
"29389757","Gendered Innovations in Orthopaedic Science: The Google Memo: Context for Women in Orthopaedics?","Page AE.","Clin Orthop Relat Res. 2018 Jan;476(1):25-27. doi: 10.1007/s11999.0000000000000032.","Page AE","Clin Orthop Relat Res","2018","2018/02/02","PMC5919241","","10.1007/s11999.0000000000000032"
