Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Linking Quality Improvement and Health Information Technology through the QI-HIT Figure 8.","/pubmed/31340398","Jamieson T, Mamdani MM, Etchells E.","Appl Clin Inform. 2019 May;10(3):528-533. doi: 10.1055/s-0039-1693456. Epub 2019 Jul 24.","Appl Clin Inform.  2019","PubMed","citation","PMID:31340398 | PMCID:PMC6656570","pubmed","31340398","create date:2019/07/25 | first author:Jamieson T",
"Corrigendum to ""Adapting the scrum framework for agile project management in science: case study of a distributed research initiative"" [Heliyon 5 (3) (March 2019) e01447].","/pubmed/31183420","Senabre Hidalgo E.","Heliyon. 2019 Apr 30;5(4):e01542. doi: 10.1016/j.heliyon.2019.e01542. eCollection 2019 Apr.","Heliyon.  2019","PubMed","citation","PMID:31183420 | PMCID:PMC6497862","pubmed","31183420","create date:2019/06/12 | first author:Senabre Hidalgo E",
"Opportunities and threats presented by social media in project management.","/pubmed/31011646","Hysa B, Spalek S.","Heliyon. 2019 Apr 11;5(4):e01488. doi: 10.1016/j.heliyon.2019.e01488. eCollection 2019 Apr.","Heliyon.  2019","PubMed","citation","PMID:31011646 | PMCID:PMC6465589","pubmed","31011646","create date:2019/04/24 | first author:Hysa B",
"Adapting the scrum framework for agile project management in science: case study of a distributed research initiative.","/pubmed/30976706","Hidalgo ES.","Heliyon. 2019 Mar 29;5(3):e01447. doi: 10.1016/j.heliyon.2019.e01447. eCollection 2019 Mar. Erratum in: Heliyon. 2019 Apr 30;5(4):e01542. ","Heliyon.  2019","PubMed","citation","PMID:30976706 | PMCID:PMC6441834","pubmed","30976706","create date:2019/04/13 | first author:Hidalgo ES",
"[Urgent need of action for the future of digital hospitals].","/pubmed/30963220","Neumann K, Reichl V, Rong O.","HNO. 2019 May;67(5):350-355. doi: 10.1007/s00106-019-0655-1. Review. German. ","HNO.  2019","PubMed","citation","PMID:30963220","pubmed","30963220","create date:2019/04/10 | first author:Neumann K",
"Optimization Sprints: Improving Clinician Satisfaction and Teamwork by Rapidly Reducing Electronic Health Record Burden.","/pubmed/30824281","Sieja A, Markley K, Pell J, Gonzalez C, Redig B, Kneeland P, Lin CT.","Mayo Clin Proc. 2019 May;94(5):793-802. doi: 10.1016/j.mayocp.2018.08.036. Epub 2019 Feb 26.","Mayo Clin Proc.  2019","PubMed","citation","PMID:30824281","pubmed","30824281","create date:2019/03/03 | first author:Sieja A",
"Nursing Value User Stories: A Value Measurement Method for Linking Nurse Contribution to Patient Outcomes.","/pubmed/30762611","Moon LA, Clancy G, Welton J, Harper E.","Comput Inform Nurs. 2019 Mar;37(3):161-170. doi: 10.1097/CIN.0000000000000520.","Comput Inform Nurs.  2019","PubMed","citation","PMID:30762611","pubmed","30762611","create date:2019/02/15 | first author:Moon LA",
"Use of Agile Project Methodology in Health Care IT Implementations: A Scoping Review.","/pubmed/30741186","Goodison R, Borycki EM, Kushniruk AW.","Stud Health Technol Inform. 2019;257:140-145. Review.","Stud Health Technol Inform.  2019","PubMed","citation","PMID:30741186","pubmed","30741186","create date:2019/02/12 | first author:Goodison R",
"Successful Public Health Information System Database Integration Projects: A Qualitative Study.","/pubmed/30349625","Roberts M.","Online J Public Health Inform. 2018 Sep 21;10(2):e207. doi: 10.5210/ojphi.v10i2.9221. eCollection 2018. Review.","Online J Public Health Inform.  2018","PubMed","citation","PMID:30349625 | PMCID:PMC6194103","pubmed","30349625","create date:2018/10/24 | first author:Roberts M",
"Priorities for science to overcome hurdles thwarting the full promise of the 'digital agriculture' revolution.","/pubmed/30191570","Shepherd M, Turner JA, Small B, Wheeler D.","J Sci Food Agric. 2018 Sep 6. doi: 10.1002/jsfa.9346. [Epub ahead of print]","J Sci Food Agric.  2018","PubMed","citation","PMID:30191570","pubmed","30191570","create date:2018/09/08 | first author:Shepherd M",
"Design of a Mobile Application for Transfusion Medicine.","/pubmed/29295250","Albornoz MA, Márquez S, Rubin L, Luna D.","Stud Health Technol Inform. 2017;245:994-998.","Stud Health Technol Inform.  2017","PubMed","citation","PMID:29295250","pubmed","29295250","create date:2018/01/04 | first author:Albornoz MA",
