,CPT,CPT - code,⚡,👍,🏆,Title,URL
9443,,,,,,"[Clinical study of cefminox in resp
iratory tract infections].",/pubmed/3930783
9442,,,,,,"The biochemical identification of f
ibronectin in the sea urchin embryo
.",/pubmed/4074361
9441,,,,,,"Computed tomographic (CT) guided pe
rcutaneous fine-needle aspiration b
iopsy: the Yale experience.",/pubmed/3765665
9440,,,,,,"Ionic-strength- and pH-dependent co
nformational states of human plasma
 fibronectin.",/pubmed/2021622
9439,,,,,,"Ultrasound-guided percutaneous fine
-needle ethanol injection into para
thyroid glands in secondary hyperpa
rathyroidism.",/pubmed/1321377
9438,,,,,,"Congenital mesoblastic nephroma met
astatic to the brain.",/pubmed/8402467
9437,,,,,,"Photoinduced structural changes in 
the collagen/gelatin binding domain
 of fibronectin.",/pubmed/7766603
9436,,,X,,,"A locked hip screw-intramedullary n
ail (cephalomedullary nail) for the
 treatment of fractures of the prox
imal part of the femur combined wit
h fractures of the femoral shaft.",/pubmed/8576969
9435,,,,,,"Expression of a coronavirus ribosom
al frameshift signal in Escherichia
 coli: influence of tRNA anticodon 
modification on frameshifting.",/pubmed/9237903
9434,,,,,,"Up-regulation of growth hormone rec
eptor immunoreactivity in human mel
anoma.",/pubmed/10470136
9433,,,,,,"ETV6 rearrangements in patients wit
h infantile fibrosarcomas and conge
nital mesoblastic nephromas by fluo
rescence in situ hybridization.",/pubmed/11743047
9432,,,,,,"[Duration of surgery in osteosynthe
sis of fractures of the trochanter]
.",/pubmed/11759471
9431,,,X,,,"[Experimental examination for optim
ized stabilisation of trochanteric 
femur fractures, intra- or extramed
ullary implant localisation and inf
luence of femur neck component prof
ile on cut-out risk].",/pubmed/11766660
9430,,,X,,,"[Hip replacement after failed inter
nal fixation in patients with proxi
mal femur fracture--a simple proced
ure?].",/pubmed/12094275
9429,,,,,,"Genetic changes in neoplasms arisin
g in congenital melanocytic nevi: d
ifferences between nodular prolifer
ations and melanomas.",/pubmed/12368190
9428,,,X,,,"A comparative study of trochanteric
 fractures treated with the Gamma n
ail or the proximal femoral nail.",/pubmed/12466870
9427,,,,,,"[Failure of allergen-based immunoth
erapy in adults with allergic asthm
a].",/pubmed/12822542
9426,,,X,,,"Cephalomedullary interlocked nail f
or ipsilateral hip and femoral shaf
t fractures.",/pubmed/15351672
9425,,,,,,"[Analgesic alternatives for the con
trol of postoperatory pain in radic
al mastectomy].",/pubmed/15550223
9424,,,,,,"Unusual usage of wobble modificatio
ns in mitochondrial tRNAs of the ne
matode Ascaris suum.",/pubmed/15907479
9423,,,,,,"Mass loading and fate of perfluoroa
lkyl surfactants in wastewater trea
tment plants.",/pubmed/16568749
9422,,,,,,"A cargo inspection system based on 
pulsed fast neutron analysis (PFNA)
.",/pubmed/16604657
9421,,,X,,,"Complications after Intramedullary 
Stabilization of Proximal Femur Fra
ctures: a Retrospective Analysis of
 178 Patients.",/pubmed/26814490
9420,,,,,,"A comprehensive model of purine upt
ake by the malaria parasite Plasmod
ium falciparum: identification of f
our purine transport activities in 
intraerythrocytic parasites.",/pubmed/18215139
9419,,,X,,,"[Proximal femur fractures: results 
and complications after osteosynthe
sis with PFN and TGN].",/pubmed/18239904
9418,,,X,,,"Femoral shortening after surgical t
reatment of trochanteric fractures 
in nongeriatric patients.",/pubmed/18404065
9417,,,X,,,"Tip-Apex Distance as a Predictor of
 Failure Following Cephalo-Medullar
y Fixation for Unstable Fractures o
f the Proximal Femur.",/pubmed/26815749
9416,,,X,,,"The new proximal femoral nail antir
otation (PFNA) in daily practice: r
esults of a multicentre clinical st
udy.",/pubmed/18582887
9415,,,X,,,"Proximal femoral nail failures in e
xtracapsular fractures of the hip.",/pubmed/18725661
9414,,,,,,"Occurrence and sources of perfluori
nated surfactants in rivers in Japa
n.",/pubmed/18800531
9413,,,,,,"Evaluation of wastewater and street
 runoff as sources of perfluorinate
d surfactants (PFSs).",/pubmed/19054542
9412,,,,,,"Biological synthesis of 7-O-methyl 
Apigenin from naringenin using esch
erichia coli expressing two genes.",/pubmed/19494697
9411,,,X,,,"Managing bone deficiency and nonuni
ons of the proximal femur.",/pubmed/19931059
9410,,,X,,,"[PCCP versus standard proximal femo
ral nail in the treatment of pertro
chanteric femoral fractures].",/pubmed/20055305
9409,,,X,,,"[Long-term radiographic complicatio
ns following treatment of unstable 
intertrochanteric femoral fractures
 with the proximal femoral nail and
 effects on functional results].",/pubmed/20134211
9408,,,,,,"Using carbon magnetic nanoparticles
 to target, track, and manipulate d
endritic cells.",/pubmed/20219468
9407,,,X,,,"Radiographic and functional results
 of osteosynthesis using the proxim
al femoral nail antirotation (PFNA)
 in the treatment of unstable inter
trochanteric femoral fractures.",/pubmed/20676015
9406,,,X,,,"Outcome after short intramedullary 
nail fixation of unstable proximal 
femoral fractures.",/pubmed/20698456
9405,,,,,,"Comparison of two clinical scoring 
systems in risk stratification of n
on-ST elevation acute coronary synd
rome patients in predicting 30-day 
outcomes.",/pubmed/21233485
9404,,,,,,"Mass flows of perfluorinated compou
nds (PFCs) in central wastewater tr
eatment plants of industrial zones 
in Thailand.",/pubmed/21439605
9403,,,X,,,"Subtrochanteric hip fractures treat
ed with cerclage cables and long ce
phalomedullary nails: a review of 1
7 consecutive cases over 2 years.",/pubmed/21497812
9402,,,X,,,"Evolving concepts of stability and 
intramedullary fixation of intertro
chanteric fractures--a review.",/pubmed/21752370
9401,,,X,,,"The proximal femur nail antirotatio
n: an identifiable improvement in t
he treatment of unstable pertrochan
teric fractures?",/pubmed/21818023
9400,,,X,,,"Standardised cement augmentation of
 the PFNA using a perforated blade:
 A new technique and preliminary cl
inical results. A prospective multi
centre trial.",/pubmed/21855063
9399,,,,,,"Treatment of periprosthetic fractur
es around hip resurfacings with cep
halomedullary nails.",/pubmed/21855278
9398,,,X,,,"[Proximal femoral nail for the trea
tment of unstable intertrochanteric
 femoral fractures].",/pubmed/21928668
9397,,,X,,,"Reverse oblique intertrochanteric f
emoral fractures treated with the i
ntramedullary hip screw (IMHS).",/pubmed/22040693
9396,,,X,,,"Radiological evaluation of intertro
chanteric fracture fixation by the 
proximal femoral nail.",/pubmed/22134114
9395,,,,X,,"Occurrence of secondary fracture ar
ound intramedullary nails used for 
trochanteric hip fractures: a syste
matic review of 13,568 patients.",/pubmed/22142841
9394,,,X,,,"Proximal femoral nail antirotation 
(PFN-ATM) fixation of extra-capsula
r proximal femoral fractures in the
 elderly: retrospective study in 10
2 patients.",/pubmed/22483629
9393,,,X,,,"Dynamic hip screws versus proximal 
femoral nails for intertrochanteric
 fractures.",/pubmed/22507497
9392,,,X,,,"Failure of knee arthroplasty second
ary to inadequate technique in ceph
alomedullary nailing of a subtrocha
nteric hip fracture.",/pubmed/22602840
9391,,,X,,,"Musculoskeletal function and qualit
y of life after an unstable trochan
teric fracture treated with the tro
chanteric gamma nail.",/pubmed/22710885
