Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Cyclins E1 and E2 in ER+ breast cancer: prospects as biomarkers and therapeutic targets.","/pubmed/32061162","Milioli H, Alexandrou S, Lim E, Caldon CE.","Endocr Relat Cancer. 2020 Feb 1. pii: ERC-19-0501.R1. doi: 10.1530/ERC-19-0501. [Epub ahead of print] Review.","Endocr Relat Cancer.  2020","PubMed","citation","PMID:32061162","pubmed","32061162","create date:2020/02/16 | first author:Milioli H",
"Commentary on the Special Issue on Network Analysis: Assessment, Intervention, Theory, and the Nature of Reality: Actualizing the Potential of Network Perspectives on Posttraumatic Stress Disorder.","/pubmed/32061111","Weems CF.","J Trauma Stress. 2020 Feb 15. doi: 10.1002/jts.22482. [Epub ahead of print]","J Trauma Stress.  2020","PubMed","citation","PMID:32061111","pubmed","32061111","create date:2020/02/16 | first author:Weems CF",
"Evaluation of Maternal Risk Factors in Neonatal Hyperbilirubinemia.","/pubmed/32061076","Boskabadi H, Rakhshanizadeh F, Zakerihamidi M.","Arch Iran Med. 2020 Feb 1;23(2):128-140.","Arch Iran Med.  2020","PubMed","citation","PMID:32061076","pubmed","32061076","create date:2020/02/16 | first author:Boskabadi H",
"Platelet-rich plasma in noninvasive procedures for atrophic acne scars: A systematic review and meta-analysis.","/pubmed/32061047","Long T, Gupta A, Ma S, Hsu S.","J Cosmet Dermatol. 2020 Feb 15. doi: 10.1111/jocd.13331. [Epub ahead of print]","J Cosmet Dermatol.  2020","PubMed","citation","PMID:32061047","pubmed","32061047","create date:2020/02/16 | first author:Long T",
"Primary anastomosis and nonrestorative resection for perforated diverticulitis with peritonitis: Meta-analysis of randomized trials.","/pubmed/32060982","Gachabayov M, Tuech JJ, Tulina I, Coget J, Bridoux V, Bergamaschi R.","Colorectal Dis. 2020 Feb 14. doi: 10.1111/codi.15016. [Epub ahead of print] Review.","Colorectal Dis.  2020","PubMed","citation","PMID:32060982","pubmed","32060982","create date:2020/02/16 | first author:Gachabayov M",
"Pain interventions in adults with intellectual disability: a scoping review and pharmacological considerations.","/pubmed/32060971","Lonchampt S, Gerber F, Aubry JM, Desmeules J, Kosel M, Besson M.","Eur J Pain. 2020 Feb 14. doi: 10.1002/ejp.1547. [Epub ahead of print] Review.","Eur J Pain.  2020","PubMed","citation","PMID:32060971","pubmed","32060971","create date:2020/02/16 | first author:Lonchampt S",
"Efficacy of alternative or additional methods to professional mechanical plaque removal during supportive periodontal therapy. A systematic review and meta-analysis.","/pubmed/32060940","Trombelli L, Farina R, Pollard A, Claydon N, Franceschetti G, Khan I, West N.","J Clin Periodontol. 2020 Feb 14. doi: 10.1111/jcpe.13269. [Epub ahead of print]","J Clin Periodontol.  2020","PubMed","citation","PMID:32060940","pubmed","32060940","create date:2020/02/16 | first author:Trombelli L",
"Prophylactic use of acid suppressants in adult acutely ill hospitalised patients: a systematic review with meta-analysis and trial sequential analysis.","/pubmed/32060905","Marker S, Barbateskovic M, Perner A, Wetterslev J, Jakobsen JC, Krag M, Granholm A, Anthon CT, Møller MH.","Acta Anaesthesiol Scand. 2020 Feb 15. doi: 10.1111/aas.13568. [Epub ahead of print] Review.","Acta Anaesthesiol Scand.  2020","PubMed","citation","PMID:32060905","pubmed","32060905","create date:2020/02/16 | first author:Marker S",
"Comparison of Single-Incision and Conventional Laparoscopic Sleeve Gastrectomy for Morbid Obesity: a Meta-Analysis.","/pubmed/32060852","Sun SD, Wu PP, Zhou JF, Wang ZS, Cai TH, Huang LK, Chen JS, Lin CQ, Wang JX, He QL.","Obes Surg. 2020 Feb 15. doi: 10.1007/s11695-020-04437-z. [Epub ahead of print]","Obes Surg.  2020","PubMed","citation","PMID:32060852","pubmed","32060852","create date:2020/02/16 | first author:Sun SD",
"A systematic review and meta-analysis of lead and cadmium concentrations in cow milk in Iran and human health risk assessment.","/pubmed/32060829","Abedi AS, Nasseri E, Esfarjani F, Mohammadi-Nasrabadi F, Hashemi Moosavi M, Hoseini H.","Environ Sci Pollut Res Int. 2020 Feb 14. doi: 10.1007/s11356-020-07989-w. [Epub ahead of print] Review.","Environ Sci Pollut Res Int.  2020","PubMed","citation","PMID:32060829","pubmed","32060829","create date:2020/02/16 | first author:Abedi AS",
