,OSS,ORS,OS,OS - Taxonomy Code,Title,URL
9160,X,X,,,"Current Perspective on the Use of O
pioids in Perioperative Medicine: A
n Evidence-Based Literature Review,
 National Survey of 70,000 Physicia
ns, and Multidisciplinary Clinical 
Appraisal.",/pubmed/29025135
9105,X,X,,,"Cough Due to TB and Other Chronic I
nfections: CHEST Guideline and Expe
rt Panel Report.",/pubmed/29196066
8991,X,X,,,"Evidence Underpinning the Centers f
or Medicare & Medicaid Services' Se
vere Sepsis and Septic Shock Manage
ment Bundle (SEP-1): A Systematic R
eview.",/pubmed/29459977
8990,X,X,,,"Diagnosis, Evaluation, Prevention, 
and Treatment of Chronic Kidney Dis
ease-Mineral and Bone Disorder: Syn
opsis of the Kidney Disease: Improv
ing Global Outcomes 2017 Clinical P
ractice Guideline Update.",/pubmed/29459980
8910,X,X,,,"Association between pain drawing an
d psychological factors in musculos
keletal chronic pain: A systematic 
review.",/pubmed/29659315
8850,X,X,,,"Perioperative Peripheral Nerve Inju
ry After General Anesthesia: A Qual
itative Systematic Review.",/pubmed/29787414
8809,X,X,,,"Risk factors for musculoskeletal in
juries in elite junior tennis playe
rs: a systematic review.",/pubmed/29912622
8694,X,X,,,"Bystander Assistance for Trauma Vic
tims in Low- and Middle-Income Coun
tries: A Systematic Review of Preva
lence and Training Interventions.",/pubmed/30141702
8683,X,X,,,"Interventions for Improving Bone Mi
neral Density and Reducing Fracture
 Risk in Osteogenesis Imperfecta: A
 Mixed Treatment Comparison Network
 Meta-analysis of Randomized Contro
lled Clinical Trials.",/pubmed/30160216
8633,X,X,,,"A systematic review of injuries in 
gymnastics.",/pubmed/30246587
8609,X,,,,"An inclusive, online Delphi process
 for setting targets for best pract
ice implementation for spinal cord 
injury.",/pubmed/30280449
8575,X,X,,,"Meta-analysis of the influence of l
ifestyle changes for preoperative w
eight loss on surgical outcomes.",/pubmed/30328098
8566,X,,,,"The association between awkward wor
king posture and low back disorders
 in farmers: a systematic review.",/pubmed/30346251
8524,X,X,,,"Preventive measures for fire-relate
d injuries and their risk factors i
n residential buildings: a systemat
ic review.",/pubmed/30416192
8456,X,X,,,"Cervical spine clearance in the adu
lt obtunded blunt trauma patient: A
 systematic review.",/pubmed/30509691
8448,X,X,,,"Systematic review of the use of cya
noacrylate glue in addition to stan
dard wound closure in the preventio
n of surgical site infection.",/pubmed/30515975
8446,X,X,,,"Exclusion criteria and adverse even
ts in perioperative trials of trane
xamic acid: a systematic review and
 meta-analysis.",/pubmed/30516835
8439,X,X,,,"Immigrant Legal Status and Health: 
Legal Status Disparities in Chronic
 Conditions and Musculoskeletal Pai
n Among Mexican-Born Farm Workers i
n the United States.",/pubmed/30519846
8397,X,X,,,"The Use of Smartphone Applications 
(Apps) for Enhancing Communication 
With Surgical Patients: A Systemati
c Review of the Literature.",/pubmed/30602332
8313,X,,,,"Anterior versus posterior approach 
for the therapy of multilevel cervi
cal spondylotic myelopathy: a meta-
analysis and systematic review.",/pubmed/30739192
8287,X,X,,,"E-tools for hospital management: An
 overview of smartphone application
s for health professionals.",/pubmed/30784427
8266,X,X,,,"2018 update of the APLAR recommenda
tions for treatment of rheumatoid a
rthritis.",/pubmed/30809944
8260,X,,,,"2018 APLAR axial spondyloarthritis 
treatment recommendations.",/pubmed/30816645
8228,X,X,,,"[Systemic review of Jintiange Capsu
les in treatment of postmenopausal 
osteoporosis].",/pubmed/30868831
8214,X,X,,,"Teriparatide versus bisphosphonates
 for treatment of postmenopausal os
teoporosis: A meta-analysis.",/pubmed/30890377
8213,X,X,,,"Epidemiology of rheumatoid arthriti
s, clinical aspects and socio-econo
mic determinants in Pakistani patie
nts: A systematic review and meta-a
nalysis.",/pubmed/30890833
8168,X,,,,"The natural course of low back pain
 from childhood to young adulthood 
- a systematic review.",/pubmed/30931103
8138,X,,,,"Anterior Cervical Corpectomy and Fu
sion Versus Posterior Laminoplasty 
for Cervical Oppressive Myelopathy 
Secondary to Ossification of the Po
sterior Longitudinal Ligament: A Me
ta-analysis.",/pubmed/30964542
8137,X,,,,"Inflammatory biomarkers in patients
 with sciatica: a systematic review
.",/pubmed/30967132
8099,X,,,,"Acute Spinal Cord Injury: A Systema
tic Review Investigating miRNA Fami
lies Involved.",/pubmed/31013946
8095,X,,,,"Surgical management of patients wit
h coexistent multiple sclerosis and
 cervical stenosis: A systematic re
view and meta-analysis.",/pubmed/31014906
8093,X,,,,"A systematic review and network met
a-analysis comparing treatments for
 faecal incontinence.",/pubmed/31022519
8090,X,X,,,"Group B Streptococcus in surgical s
ite and non-invasive bacterial infe
ctions worldwide: A systematic revi
ew and meta-analysis.",/pubmed/31028879
8062,X,X,,,"Chlorhexidine-impregnated dressing 
for the prophylaxis of central veno
us catheter-related complications: 
a systematic review and meta-analys
is.",/pubmed/31096918
8053,X,X,,,"Nonsteroidal anti-inflammatory drug
s and pain in cancer patients: a sy
stematic review and reappraisal of 
the evidence.",/pubmed/31122736
8050,X,X,,,"Systematic review and consensus def
initions for the Standardised Endpo
ints in Perioperative Medicine init
iative: clinical indicators.",/pubmed/31128879
7978,X,X,,,"Evidence for miniscalpel-needle/nee
dle knife in the management of chro
nic pain related conditions: A prot
ocol for systematic review and meta
-analysis.",/pubmed/31305481
7958,X,,,,"Total disc replacement versus fusio
n for lumbar degenerative diseases 
- a meta-analysis of randomized con
trolled trials.",/pubmed/31335704
7955,X,,,,"Acupoint injection for nonspecific 
chronic low back pain: A protocol o
f systematic review.",/pubmed/31335709
