Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Comparison between intermittent and continuous leukapheresis protocols for autologous hematopoietic stem cell collections in children.","/pubmed/31424127","Ali S, Chiang KY, Even-Or E, Di Mola M, Schechter T, Ali M, McDougall E, Svajger G, Licht C, Krueger J.","J Clin Apher. 2019 Aug 19. doi: 10.1002/jca.21741. [Epub ahead of print]","J Clin Apher.  2019","PubMed","citation","PMID:31424127","pubmed","31424127","create date:2019/08/20 | first author:Ali S",
"Pancreatic fat necrosis in a 10-year-old girl: A case report and review of the literature.","/pubmed/31423621","Boyd AS, Wester AC.","Pediatr Dermatol. 2019 Aug 18. doi: 10.1111/pde.13986. [Epub ahead of print]","Pediatr Dermatol.  2019","PubMed","citation","PMID:31423621","pubmed","31423621","create date:2019/08/20 | first author:Boyd AS",
"An 11-Year Retrospective Research Study of the Predictive Factors of Peri-Implantitis and Implant Failure: Analytic-Multicentric Study of 1279 Implants in Peru.","/pubmed/31341478","Mayta-Tovalino F, Mendoza-Martiarena Y, Romero-Tapia P, Álvarez-Paucar M, Gálvez-Calla L, Calderón-Sánchez J, Bolaños-Cardenas R, Diaz-Sarabia A.","Int J Dent. 2019 Jun 24;2019:3527872. doi: 10.1155/2019/3527872. eCollection 2019.","Int J Dent.  2019","PubMed","citation","PMID:31341478 | PMCID:PMC6612967","pubmed","31341478","create date:2019/07/26 | first author:Mayta-Tovalino F",
"Unstable Intertrochanteric Hip Repair With Short Cephalomedullary Nail.","/pubmed/31290826","A Egol K, Wasterlain A, Driesman A, Mandel J, Konda S.","J Orthop Trauma. 2019 Aug;33 Suppl 1:S24-S25. doi: 10.1097/BOT.0000000000001524.","J Orthop Trauma.  2019","PubMed","citation","PMID:31290826","pubmed","31290826","create date:2019/07/11 | first author:A Egol K",
"Outcomes of Neonates With Complex Medical Needs.","/pubmed/31268866","Kieran E, Sara R, Claydon J, Hait V, de Salaberry J, Osiovich H, Shivananda S.","Adv Neonatal Care. 2019 Aug;19(4):275-284. doi: 10.1097/ANC.0000000000000639.","Adv Neonatal Care.  2019","PubMed","citation","PMID:31268866","pubmed","31268866","create date:2019/07/04 | first author:Kieran E",
"Short versus Long Cephalomedullary Nails for Pertrochanteric Hip Fractures: A Randomized Prospective Study.","/pubmed/31232891","Shannon SF, Yuan BJ, Cross WW 3rd, Barlow JD, Torchia ME, Holte PK, Sems SA.","J Orthop Trauma. 2019 Jun 20. doi: 10.1097/BOT.0000000000001553. [Epub ahead of print]","J Orthop Trauma.  2019","PubMed","citation","PMID:31232891","pubmed","31232891","create date:2019/06/25 | first author:Shannon SF",
"Proximal femoral nailing is superior to hemiarthroplasty in AO/OTA A2 and A3 intertrochanteric femur fractures in the elderly: a systematic literature review and meta-analysis.","/pubmed/31201487","Kumar P, Rajnish RK, Sharma S, Dhillon MS.","Int Orthop. 2019 Jun 14. doi: 10.1007/s00264-019-04351-9. [Epub ahead of print] Review.","Int Orthop.  2019","PubMed","citation","PMID:31201487","pubmed","31201487","create date:2019/06/16 | first author:Kumar P",
"Soil management type differentially modulates the metabolomic profile of olive xylem sap.","/pubmed/31054473","Sofo A, Fausto C, Mininni AN, Dichio B, Lucini L.","Plant Physiol Biochem. 2019 Jun;139:707-714. doi: 10.1016/j.plaphy.2019.04.036. Epub 2019 Apr 27.","Plant Physiol Biochem.  2019","PubMed","citation","PMID:31054473","pubmed","31054473","create date:2019/05/06 | first author:Sofo A",
"Environmental perfluoroalkyl acid exposures are associated with liver disease characterized by apoptosis and altered serum adipocytokines.","/pubmed/30823334","Bassler J, Ducatman A, Elliott M, Wen S, Wahlang B, Barnett J, Cave MC.","Environ Pollut. 2019 Apr;247:1055-1063. doi: 10.1016/j.envpol.2019.01.064. Epub 2019 Jan 18.","Environ Pollut.  2019","PubMed","citation","PMID:30823334 | PMCID:PMC6404528","pubmed","30823334","create date:2019/03/03 | first author:Bassler J",
"Cross-sectional study of the association between serum perfluorinated alkyl acid concentrations and dental caries among US adolescents (NHANES 1999-2012).","/pubmed/30782897","Puttige Ramesh N, Arora M, Braun JM.","BMJ Open. 2019 Feb 19;9(2):e024189. doi: 10.1136/bmjopen-2018-024189.","BMJ Open.  2019","PubMed","citation","PMID:30782897 | PMCID:PMC6377528","pubmed","30782897","create date:2019/02/21 | first author:Puttige Ramesh N",
"Peri-implant Atypical Fractures Associated with Bisphosphonates: Should this Clinical Entity be Included in the Definition of Atypical Femoral Fracture? Case Report.","/pubmed/30687667","Simões ND, Gonçalves Z, Moreno J, Paiva F, Pinho S, Varzielas M.","J Orthop Case Rep. 2018 Jul-Aug;8(4):66-69. doi: 10.13107/jocr.2250-0685.1164.","J Orthop Case Rep.  2018","PubMed","citation","PMID:30687667 | PMCID:PMC6343574","pubmed","30687667","create date:2019/01/29 | first author:Simões ND",
"Secondary femur fracture following treatment with anterograde nailing: the state of the art.","/pubmed/30644296","Cazzato G, Masci G, Liuzza F, Capasso L, Florio M, Perisano C, Vitiello R, Ciolli G, Maccauro G.","J Biol Regul Homeost Agents. 2018 Nov-Dec;32(6 Suppl. 1):151-155. Review.","J Biol Regul Homeost Agents.  2018","PubMed","citation","PMID:30644296","pubmed","30644296","create date:2019/01/16 | first author:Cazzato G",
