Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Cooling during exercise enhances performances, but the cooled body areas matter: A systematic review with meta-analyses.","/pubmed/31340407","Douzi W, Dugué B, Vinches L, Al Sayed C, Hallé S, Bosquet L, Dupuy O.","Scand J Med Sci Sports. 2019 Jul 24. doi: 10.1111/sms.13521. [Epub ahead of print] Review.","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31340407","pubmed","31340407","create date:2019/07/25 | first author:Douzi W",
"Commentary: ""Meta-Analysis on The Association of Genetic Polymorphisms of The Angiotensin- Converting Enzyme and Coronary Artery Disease in the Chinese population"".","/pubmed/31340328","Xue B, He L.","Rev Assoc Med Bras (1992). 2019 Jul 22;65(6):930. doi: 10.1590/1806-9282.65.6.930. No abstract available. ","Rev Assoc Med Bras (1992).  2019","PubMed","citation","PMID:31340328","pubmed","31340328","create date:2019/07/25 | first author:Xue B",
"A meta-analysis on the association of genetic polymorphism of the angiotensin-converting enzyme and coronary artery disease in the chinese population.","/pubmed/31340327","Zhang Y, Yang T, Zhou W, Huang Y.","Rev Assoc Med Bras (1992). 2019 Jul 22;65(6):923-929. doi: 10.1590/1806-9282.65.6.923.","Rev Assoc Med Bras (1992).  2019","PubMed","citation","PMID:31340327","pubmed","31340327","create date:2019/07/25 | first author:Zhang Y",
"Pathological fracture after radiotherapy: systematic review of literature.","/pubmed/31340323","Soares CBG, Araújo ID, Pádua BJ, Vilela JCS, Souza RHR, Teixeira LEM.","Rev Assoc Med Bras (1992). 2019 Jul 22;65(6):902-908. doi: 10.1590/1806-9282.65.6.902.","Rev Assoc Med Bras (1992).  2019","PubMed","citation","PMID:31340323","pubmed","31340323","create date:2019/07/25 | first author:Soares CBG",
"Using a 3D printer in cardiac valve surgery: a systematic review.","/pubmed/31340310","Boll LFC, Rodrigues GO, Rodrigues CG, Bertollo FL, Irigoyen MC, Goldmeier S.","Rev Assoc Med Bras (1992). 2019 Jul 22;65(6):818-824. doi: 10.1590/1806-9282.65.6.818.","Rev Assoc Med Bras (1992).  2019","PubMed","citation","PMID:31340310","pubmed","31340310","create date:2019/07/25 | first author:Boll LFC",
"Factors associated with antiretroviral therapy adherence in adults: an integrative review of literature.","/pubmed/31340272","Carvalho PP, Barroso SM, Coelho HC, Penaforte FRO.","Cien Saude Colet. 2019 Jul 22;24(7):2543-2555. doi: 10.1590/1413-81232018247.22312017. Portuguese, English. ","Cien Saude Colet.  2019","PubMed","citation","PMID:31340272","pubmed","31340272","create date:2019/07/25 | first author:Carvalho PP",
"Cognitive assessment instruments used in elderly Brazilians in the last five years.","/pubmed/31340270","Martins NIM, Caldas PR, Cabral ED, Lins CCDSA, Coriolano MDGWS.","Cien Saude Colet. 2019 Jul 22;24(7):2513-2530. doi: 10.1590/1413-81232018247.20862017. Portuguese, English. ","Cien Saude Colet.  2019","PubMed","citation","PMID:31340270","pubmed","31340270","create date:2019/07/25 | first author:Martins NIM",
"[User participation in public policies of mental health: an integrative review].","/pubmed/31340269","Yoma SM.","Cien Saude Colet. 2019 Jul 22;24(7):2499-2512. doi: 10.1590/1413-81232018247.14402017. Spanish. ","Cien Saude Colet.  2019","PubMed","citation","PMID:31340269","pubmed","31340269","create date:2019/07/25 | first author:Yoma SM",
"Do maternal morbidities change the nutritional composition of human milk? A systematic review.","/pubmed/31340268","Amaral YNDVD, Rocha DM, Silva LMLD, Soares FVM, Moreira MEL.","Cien Saude Colet. 2019 Jul 22;24(7):2491-2498. doi: 10.1590/1413-81232018247.18972017. Portuguese, English. ","Cien Saude Colet.  2019","PubMed","citation","PMID:31340268","pubmed","31340268","create date:2019/07/25 | first author:Amaral YNDVD",
"Risk profile for antiangiogenic agent-related osteonecrosis of the jaws.","/pubmed/31340246","Caminha RDG, Chicrala GM, Soares Júnior LAV, Santos PSDS.","Einstein (Sao Paulo). 2019 Jul 18;17(3):eRW4628. doi: 10.31744/einstein_journal/2019RW4628. English, Portuguese. ","Einstein (Sao Paulo).  2019","PubMed","citation","PMID:31340246","pubmed","31340246","create date:2019/07/25 | first author:Caminha RDG",
