Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Allergen components in diagnosing childhood hazelnut allergy: systematic literature review and meta-analysis.","/pubmed/31301691","Nilsson C, Berthold M, Mascialino B, Orme M, Sjölander S, Hamilton R.","Pediatr Allergy Immunol. 2019 Jul 13. doi: 10.1111/pai.13110. [Epub ahead of print]","Pediatr Allergy Immunol.  2019","PubMed","citation","PMID:31301691","pubmed","31301691","create date:2019/07/14 | first author:Nilsson C",
"Definitions, adjudication, and reporting of pulmonary embolism-related death in clinical studies: a systematic review.","/pubmed/31301689","Kraaijpoel N, Tritschler T, Guillo E, Girard P, Le Gal G.","J Thromb Haemost. 2019 Jul 13. doi: 10.1111/jth.14570. [Epub ahead of print] Review.","J Thromb Haemost.  2019","PubMed","citation","PMID:31301689","pubmed","31301689","create date:2019/07/14 | first author:Kraaijpoel N",
"Placenta previa and the risk of intrauterine growth restriction (IUGR): a systematic review and meta-analysis.","/pubmed/31301678","Balayla J, Desilets J, Shrem G.","J Perinat Med. 2019 Jul 13. pii: /j/jpme.ahead-of-print/jpm-2019-0116/jpm-2019-0116.xml. doi: 10.1515/jpm-2019-0116. [Epub ahead of print] Review.","J Perinat Med.  2019","PubMed","citation","PMID:31301678","pubmed","31301678","create date:2019/07/14 | first author:Balayla J",
"State anxiety in pregnancies affected by obstetric complications: A systematic review.","/pubmed/31301626","Fischbein RL, Nicholas L, Kingsbury DM, Falletta LM, Baughman KR, VanGeest J.","J Affect Disord. 2019 Jul 4;257:214-240. doi: 10.1016/j.jad.2019.07.007. [Epub ahead of print] Review.","J Affect Disord.  2019","PubMed","citation","PMID:31301626","pubmed","31301626","create date:2019/07/14 | first author:Fischbein RL",
"Title: Can changing the physical environment promote walking and cycling? A systematic review of what works and how.","/pubmed/31301599","Panter J, Guell C, Humphreys D, Ogilvie D.","Health Place. 2019 Jul 10;58:102161. doi: 10.1016/j.healthplace.2019.102161. [Epub ahead of print] Review.","Health Place.  2019","PubMed","citation","PMID:31301599","pubmed","31301599","create date:2019/07/14 | first author:Panter J",
"Preferences for health information in middle-aged Japanese workers based on health literacy levels: a descriptive study.","/pubmed/31301551","Adachi T, Hori M, Ishimaru Y, Fujii N, Kondo T, Yamada S.","Public Health. 2019 Jul 10;174:18-21. doi: 10.1016/j.puhe.2019.05.036. [Epub ahead of print]","Public Health.  2019","PubMed","citation","PMID:31301551","pubmed","31301551","create date:2019/07/14 | first author:Adachi T",
"Comparative efficacy of Chinese herbal injections for the treatment of community-acquired pneumonia: A Bayesian network meta-analysis of randomized controlled trials.","/pubmed/31301540","Huang X, Duan X, Zhu Y, Wang K, Wu J, Tian X.","Phytomedicine. 2019 Jul 2;63:153009. doi: 10.1016/j.phymed.2019.153009. [Epub ahead of print] Review.","Phytomedicine.  2019","PubMed","citation","PMID:31301540","pubmed","31301540","create date:2019/07/14 | first author:Huang X",
"Minimally supervised home-based resistance training and muscle function in older adults: A meta-analysis.","/pubmed/31301519","Kis O, Buch A, Stern N, Moran DS.","Arch Gerontol Geriatr. 2019 Jul 8;84:103909. doi: 10.1016/j.archger.2019.103909. [Epub ahead of print]","Arch Gerontol Geriatr.  2019","PubMed","citation","PMID:31301519","pubmed","31301519","create date:2019/07/14 | first author:Kis O",
"Core Decompression Combined with Autologous Bone Marrow Stem Cells Versus Core Decompression Alone for Patients with Osteonecrosis of the Femoral Head: A Meta-analysis.","/pubmed/31301432","Wang Z, Sun QM, Zhang FQ, Zhang QL, Wang LG, Wang WJ.","Int J Surg. 2019 Jul 10. pii: S1743-9191(19)30144-X. doi: 10.1016/j.ijsu.2019.06.016. [Epub ahead of print] Review.","Int J Surg.  2019","PubMed","citation","PMID:31301432","pubmed","31301432","create date:2019/07/14 | first author:Wang Z",
"Risk predictors of dental root caries: a systematic review.","/pubmed/31301318","Zhang J, Leung KCM, Sardana D, Wong MCM, Lo ECM.","J Dent. 2019 Jul 10. pii: S0300-5712(19)30148-4. doi: 10.1016/j.jdent.2019.07.004. [Epub ahead of print] Review.","J Dent.  2019","PubMed","citation","PMID:31301318","pubmed","31301318","create date:2019/07/14 | first author:Zhang J",
"The role of molecular genetics in the clinical management of sporadic medullary thyroid carcinoma.","/pubmed/31301229","Fussey JM, Vaidya B, Kim D, Clark J, Ellard S, Smith JA.","Clin Endocrinol (Oxf). 2019 Jul 13. doi: 10.1111/cen.14060. [Epub ahead of print]","Clin Endocrinol (Oxf).  2019","PubMed","citation","PMID:31301229","pubmed","31301229","create date:2019/07/14 | first author:Fussey JM",
"Are we ready to develop a tiered scheme for the effusion cytology? A comprehensive review and analysis of the literature.","/pubmed/31301215","Farahani SJ, Baloch Z.","Diagn Cytopathol. 2019 Jul 13. doi: 10.1002/dc.24278. [Epub ahead of print]","Diagn Cytopathol.  2019","PubMed","citation","PMID:31301215","pubmed","31301215","create date:2019/07/14 | first author:Farahani SJ",
"Comparing Treatments for Basal Cell Carcinoma in Terms of Long-term Treatment-Failure: A Network Meta-analysis.","/pubmed/31301194","Fukumoto T, Fukumoto R, Oka M, Horita N.","J Eur Acad Dermatol Venereol. 2019 Jul 13. doi: 10.1111/jdv.15796. [Epub ahead of print] Review.","J Eur Acad Dermatol Venereol.  2019","PubMed","citation","PMID:31301194","pubmed","31301194","create date:2019/07/14 | first author:Fukumoto T",
"Cornelia de lange manifestations in otolaryngology: A systematic review and meta-analysis.","/pubmed/31301187","Bergeron M, Chang K, Ishman SL.","Laryngoscope. 2019 Jul 13. doi: 10.1002/lary.28169. [Epub ahead of print] Review.","Laryngoscope.  2019","PubMed","citation","PMID:31301187","pubmed","31301187","create date:2019/07/14 | first author:Bergeron M",
"Degeneracy in hippocampal physiology and plasticity.","/pubmed/31301166","Rathour RK, Narayanan R.","Hippocampus. 2019 Jul 13. doi: 10.1002/hipo.23139. [Epub ahead of print]","Hippocampus.  2019","PubMed","citation","PMID:31301166","pubmed","31301166","create date:2019/07/14 | first author:Rathour RK",
"Measurement accuracy and uncertainty in plant biomechanics.","/pubmed/31301144","Nelson N, Stubbs CJ, Larson R, Cook DD.","J Exp Bot. 2019 Jul 13. pii: erz279. doi: 10.1093/jxb/erz279. [Epub ahead of print]","J Exp Bot.  2019","PubMed","citation","PMID:31301144","pubmed","31301144","create date:2019/07/14 | first author:Nelson N",
"Effects of Dietary Protein Quantity on Bone Quantity following Weight Loss: A Systematic Review and Meta-analysis.","/pubmed/31301138","Wright CS, Li J, Campbell WW.","Adv Nutr. 2019 Jul 13. pii: nmz058. doi: 10.1093/advances/nmz058. [Epub ahead of print]","Adv Nutr.  2019","PubMed","citation","PMID:31301138","pubmed","31301138","create date:2019/07/14 | first author:Wright CS",
