Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Use of Gonadotropin-Releasing Hormone Analogs in Children: Update by an International Consortium.","/pubmed/31319416","Bangalore Krishna K, Fuqua JS, Rogol AD, Klein KO, Popovic J, Houk CP, Charmandari E, Lee PA.","Horm Res Paediatr. 2019 Jul 18:1-16. doi: 10.1159/000501336. [Epub ahead of print]","Horm Res Paediatr.  2019","PubMed","citation","PMID:31319416","pubmed","31319416","create date:2019/07/19 | first author:Bangalore Krishna K",
"Prognostic Value of Pretreatment Lymphocyte-to-Monocyte Ratio in Non-Small Cell Lung Cancer: A Meta-Analysis.","/pubmed/31319409","Wang Y, Huang D, Xu WY, Wang YW, Che GW.","Oncol Res Treat. 2019 Jul 18:1-8. doi: 10.1159/000501726. [Epub ahead of print]","Oncol Res Treat.  2019","PubMed","citation","PMID:31319409","pubmed","31319409","create date:2019/07/19 | first author:Wang Y",
"Effects of Different Movement Programs on Motor Competence: A Systematic Review With Meta-Analysis.","/pubmed/31319403","Jiménez-Díaz J, Chaves-Castro K, Salazar W.","J Phys Act Health. 2019 Jul 17:1-10. doi: 10.1123/jpah.2018-0179. [Epub ahead of print] Review.","J Phys Act Health.  2019","PubMed","citation","PMID:31319403","pubmed","31319403","create date:2019/07/19 | first author:Jiménez-Díaz J",
"The Effectiveness of Physical Activity Interventions for Low-Income and Ethnic Minority Children and Youths: A Meta-Analysis.","/pubmed/31319397","Chang SH, Kim K, Lee J, Lee S.","J Phys Act Health. 2019 Jul 18:1-10. doi: 10.1123/jpah.2018-0648. [Epub ahead of print] Review.","J Phys Act Health.  2019","PubMed","citation","PMID:31319397","pubmed","31319397","create date:2019/07/19 | first author:Chang SH",
"Chemotherapy With or Without Anti-EGFR Agents in Left- and Right-Sided Metastatic Colorectal Cancer: An Updated Meta-Analysis.","/pubmed/31319395","Wang ZX, Wu HX, He MM, Wang YN, Luo HY, Ding PR, Xie D, Chen G, Li YH, Wang F, Xu RH.","J Natl Compr Canc Netw. 2019 Jul 1;17(7):805-811. doi: 10.6004/jnccn.2018.7279.","J Natl Compr Canc Netw.  2019","PubMed","citation","PMID:31319395","pubmed","31319395","create date:2019/07/19 | first author:Wang ZX",
"Educational interventions designed to develop nurses' cultural competence: A systematic review.","/pubmed/31319338","Oikarainen A, Mikkonen K, Kenny A, Tomietto M, Tuomikoski AM, Meriläinen M, Miettunen J, Kääriäinen M.","Int J Nurs Stud. 2019 Jun 21;98:75-86. doi: 10.1016/j.ijnurstu.2019.06.005. [Epub ahead of print]","Int J Nurs Stud.  2019","PubMed","citation","PMID:31319338","pubmed","31319338","create date:2019/07/19 | first author:Oikarainen A",
"Beyond the learning curve: Comparison of microscopic and endoscopic incidences of internal carotid injury in series of highly experienced operators.","/pubmed/31319187","Perry A, Graffeo CS, Meyer J, Carlstrom LP, Oushy S, Driscoll C, Meyer FB.","World Neurosurg. 2019 Jul 15. pii: S1878-8750(19)31980-1. doi: 10.1016/j.wneu.2019.07.074. [Epub ahead of print]","World Neurosurg.  2019","PubMed","citation","PMID:31319187","pubmed","31319187","create date:2019/07/19 | first author:Perry A",
"Quantifying deep grey matter atrophy using automated segmentation approaches: A systematic review of structural MRI studies.","/pubmed/31319182","Pagnozzi AM, Fripp J, Rose SE.","Neuroimage. 2019 Jul 15:116018. doi: 10.1016/j.neuroimage.2019.116018. [Epub ahead of print] Review.","Neuroimage.  2019","PubMed","citation","PMID:31319182","pubmed","31319182","create date:2019/07/19 | first author:Pagnozzi AM",
"Central serous chorioretinopathy: Towards an evidence-based treatment guideline.","/pubmed/31319157","van Rijssen TJ, van Dijk EHC, Yzer S, Ohno-Matsui K, Keunen JEE, Schlingemann RO, Sivaprasad S, Querques G, Downes SM, Fauser S, Hoyng CB, Piccolino FC, Chhablani JK, Lai TYY, Lotery AJ, Larsen M, Holz FG, Freund KB, Yannuzzi LA, Boon CJF.","Prog Retin Eye Res. 2019 Jul 15. pii: S1350-9462(18)30094-6. doi: 10.1016/j.preteyeres.2019.07.003. [Epub ahead of print] Review.","Prog Retin Eye Res.  2019","PubMed","citation","PMID:31319157","pubmed","31319157","create date:2019/07/19 | first author:van Rijssen TJ",
"The effect of exercise on quality of life, fatigue, physical function and safety in advanced solid tumor cancers: a meta-analysis of randomized control trials.","/pubmed/31319105","Nadler MB, Desnoyers A, Langelier DM, Amir E.","J Pain Symptom Manage. 2019 Jul 15. pii: S0885-3924(19)30378-1. doi: 10.1016/j.jpainsymman.2019.07.005. [Epub ahead of print] Review.","J Pain Symptom Manage.  2019","PubMed","citation","PMID:31319105","pubmed","31319105","create date:2019/07/19 | first author:Nadler MB",
