Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Biomechanical alterations in individuals with Achilles tendinopathy during running and hopping: A systematic review with meta-analysis.","/pubmed/31351358","Sancho I, Malliaras P, Barton C, Willy RW, Morrissey D.","Gait Posture. 2019 Jul 12;73:189-201. doi: 10.1016/j.gaitpost.2019.07.121. [Epub ahead of print] Review.","Gait Posture.  2019","PubMed","citation","PMID:31351358","pubmed","31351358","create date:2019/07/28 | first author:Sancho I",
"Prevalence of sleep disturbances among head and neck cancer patients: A systematic review and meta-analysis.","/pubmed/31351357","Santoso AMM, Jansen F, de Vries R, Leemans CR, van Straten A, Verdonck-de Leeuw IM.","Sleep Med Rev. 2019 Jun 21;47:62-73. doi: 10.1016/j.smrv.2019.06.003. [Epub ahead of print] Review.","Sleep Med Rev.  2019","PubMed","citation","PMID:31351357","pubmed","31351357","create date:2019/07/28 | first author:Santoso AMM",
"Effects of augmented feedback on training jump landing tasks for ACL injury prevention: A systematic review and meta-analysis.","/pubmed/31351340","Neilson V, Ward S, Hume P, Lewis G, McDaid A.","Phys Ther Sport. 2019 Jul 19;39:126-135. doi: 10.1016/j.ptsp.2019.07.004. [Epub ahead of print] Review.","Phys Ther Sport.  2019","PubMed","citation","PMID:31351340","pubmed","31351340","create date:2019/07/28 | first author:Neilson V",
"Phthalate exposure and female reproductive and developmental outcomes: a systematic review of the human epidemiological evidence.","/pubmed/31351310","Radke EG, Glenn BS, Braun JM, Cooper GS.","Environ Int. 2019 Jul 24;130:104580. doi: 10.1016/j.envint.2019.02.003. [Epub ahead of print] Review.","Environ Int.  2019","PubMed","citation","PMID:31351310","pubmed","31351310","create date:2019/07/28 | first author:Radke EG",
"Artificial intelligence for assisting diagnostics and assessment of Parkinson's disease-A review.","/pubmed/31351213","Belić M, Bobić V, Badža M, Šolaja N, Đurić-Jovičić M, Kostić VS.","Clin Neurol Neurosurg. 2019 Jul 16;184:105442. doi: 10.1016/j.clineuro.2019.105442. [Epub ahead of print] Review.","Clin Neurol Neurosurg.  2019","PubMed","citation","PMID:31351213","pubmed","31351213","create date:2019/07/28 | first author:Belić M",
"Rechallenging Recurrent Glioblastoma with Intra-Arterial Bevacizumab with Blood Brain Barrier Disruption Results in Radiographic Response: a Case Report.","/pubmed/31351210","Faltings L, Kulason KO, Patel NV, Wong T, Fralin S, Li M, Schneider JR, Filippi CG, Langer DJ, Ortiz R, Boockvar JA.","World Neurosurg. 2019 Jul 24. pii: S1878-8750(19)32043-1. doi: 10.1016/j.wneu.2019.07.137. [Epub ahead of print]","World Neurosurg.  2019","PubMed","citation","PMID:31351210","pubmed","31351210","create date:2019/07/28 | first author:Faltings L",
"Invasive high grade urothelial carcinoma of the bladder, renal pelvis, ureter and prostatic urethra arising in a background of urothelial carcinoma with an inverted growth pattern: a contemporary Clinicopathologic analysis of 91 cases.","/pubmed/31351154","Gutierrez CM, Alemozaffar M, Osunkoya AO.","Hum Pathol. 2019 Jul 24. pii: S0046-8177(19)30127-3. doi: 10.1016/j.humpath.2019.07.005. [Epub ahead of print]","Hum Pathol.  2019","PubMed","citation","PMID:31351154","pubmed","31351154","create date:2019/07/28 | first author:Gutierrez CM",
"Effectiveness of the pharmacist-involved multidisciplinary management of heart failure to improve hospitalizations and mortality rates in 4630 patients: a systematic review and meta-analysis of randomized controlled trials.","/pubmed/31351119","Parajuli DR, Kourbelis DC, Franzon DJ, Newman MP, McKinnon RA, Shakib S, Whitehead DD, Clark RA.","J Card Fail. 2019 Jul 24. pii: S1071-9164(18)31092-3. doi: 10.1016/j.cardfail.2019.07.455. [Epub ahead of print] Review. No abstract available. ","J Card Fail.  2019","PubMed","citation","PMID:31351119","pubmed","31351119","create date:2019/07/28 | first author:Parajuli DR",
"Demographic, sampling- and assay-related confounders of endogenous oxytocin concentrations: A systematic review and meta-analysis.","/pubmed/31351080","Engel S, Laufer S, Miller R, Niemeyer H, Knaevelsrud C, Schumacher S.","Front Neuroendocrinol. 2019 Jul 24:100775. doi: 10.1016/j.yfrne.2019.100775. [Epub ahead of print] Review.","Front Neuroendocrinol.  2019","PubMed","citation","PMID:31351080","pubmed","31351080","create date:2019/07/28 | first author:Engel S",
"Analgesic management of uncomplicated acute sickle-cell pain crisis in pediatrics: a systematic review and meta-analysis.","/pubmed/31351033","Saramba MI, Shakya S, Zhao D.","J Pediatr (Rio J). 2019 Jul 24. pii: S0021-7557(19)30053-1. doi: 10.1016/j.jped.2019.05.004. [Epub ahead of print] Review.","J Pediatr (Rio J).  2019","PubMed","citation","PMID:31351033","pubmed","31351033","create date:2019/07/28 | first author:Saramba MI",
"Applications of RNA interference in the treatment of arthritis.","/pubmed/31351032","Rai MF, Pan H, Yan H, Sandell LJ, Pham CTN, Wickline SA.","Transl Res. 2019 Jul 10. pii: S1931-5244(19)30135-5. doi: 10.1016/j.trsl.2019.07.002. [Epub ahead of print] Review.","Transl Res.  2019","PubMed","citation","PMID:31351032","pubmed","31351032","create date:2019/07/28 | first author:Rai MF",
"Association of Promoter Region Polymorphisms of IL-10 Gene with Susceptibility to Lung Cancer: Systematic Review and Meta-Analysis.","/pubmed/31350950","Jafari-Nedooshan J, Moghimi M, Zare M, Heiranizadeh N, Morovati-Sharifabad M, Akbarian-Bafghi MJ, Jarahzadeh MH, Neamatzadeh H.","Asian Pac J Cancer Prev. 2019 Jul 1;20(7):1951-1957. doi: 10.31557/APJCP.2019.20.7.1951.","Asian Pac J Cancer Prev.  2019","PubMed","citation","PMID:31350950","pubmed","31350950","create date:2019/07/28 | first author:Jafari-Nedooshan J",
"Knowledge and Attitude Toward Human Papillomavirus and HPV Vaccination in Iranian Population: A Systematic Review.","/pubmed/31350949","Taebi M, Riazi H, Keshavarz Z, Afrakhteh M.","Asian Pac J Cancer Prev. 2019 Jul 1;20(7):1945-1949. doi: 10.31557/APJCP.2019.20.7.1945.","Asian Pac J Cancer Prev.  2019","PubMed","citation","PMID:31350949","pubmed","31350949","create date:2019/07/28 | first author:Taebi M",
"Caregiver Interventions for Adults Discharged from the Hospital: Systematic Review and Meta-Analysis.","/pubmed/31350918","Smith TO, Pearson M, Pfeiffer K, Crotty M, Lamb SE.","J Am Geriatr Soc. 2019 Jul 27. doi: 10.1111/jgs.16048. [Epub ahead of print] Review.","J Am Geriatr Soc.  2019","PubMed","citation","PMID:31350918","pubmed","31350918","create date:2019/07/28 | first author:Smith TO",
"Identifying small-effect genetic associations overlooked by the conventional fixed-effect model in a large-scale meta-analysis of coronary artery disease.","/pubmed/31350884","Magosi LE, Goel A, Hopewell JC, Farrall M.","Bioinformatics. 2019 Jul 27. pii: btz590. doi: 10.1093/bioinformatics/btz590. [Epub ahead of print]","Bioinformatics.  2019","PubMed","citation","PMID:31350884","pubmed","31350884","create date:2019/07/28 | first author:Magosi LE",
"Brexpiprazole as adjunctive treatment for major depressive disorder following treatment failure with at least one antidepressant in the current episode: a systematic review and meta-analysis.","/pubmed/31350882","Kishi T, Sakuma K, Nomura I, Matsuda Y, Mishima K, Iwata N.","Int J Neuropsychopharmacol. 2019 Jul 27. pii: pyz040. doi: 10.1093/ijnp/pyz040. [Epub ahead of print]","Int J Neuropsychopharmacol.  2019","PubMed","citation","PMID:31350882","pubmed","31350882","create date:2019/07/28 | first author:Kishi T",
"The prevalence, trends, and geographical distribution of human papillomavirus infection in China: The pooled analysis of 1.7 million women.","/pubmed/31350872","Zhu B, Liu Y, Zuo T, Cui X, Li M, Zhang J, Yu H, Piao H.","Cancer Med. 2019 Jul 27. doi: 10.1002/cam4.2017. [Epub ahead of print]","Cancer Med.  2019","PubMed","citation","PMID:31350872","pubmed","31350872","create date:2019/07/28 | first author:Zhu B",
"Systematic review of sensory processing in preterm children reveals abnormal sensory modulation, somatosensory processing and sensory-based motor processing.","/pubmed/31350861","Niutanen U, Harra T, Lano A, Metsäranta M.","Acta Paediatr. 2019 Jul 27. doi: 10.1111/apa.14953. [Epub ahead of print] Review.","Acta Paediatr.  2019","PubMed","citation","PMID:31350861","pubmed","31350861","create date:2019/07/28 | first author:Niutanen U",
"Associations of Awareness of Age-Related Change With Emotional and Physical Well-being: A Systematic Review and Meta-analysis.","/pubmed/31350849","Sabatini S, Silarova B, Martyr A, Collins R, Ballard C, Anstey KJ, Kim S, Clare L.","Gerontologist. 2019 Jul 27. pii: gnz101. doi: 10.1093/geront/gnz101. [Epub ahead of print]","Gerontologist.  2019","PubMed","citation","PMID:31350849","pubmed","31350849","create date:2019/07/28 | first author:Sabatini S",
"Breast Cancer Detection and Diagnosis Using Mammographic Data: Systematic Review.","/pubmed/31350843","Gardezi SJS, Elazab A, Lei B, Wang T.","J Med Internet Res. 2019 Jul 26;21(7):e14464. doi: 10.2196/14464. Review.","J Med Internet Res.  2019","PubMed","citation","PMID:31350843","pubmed","31350843","create date:2019/07/28 | first author:Gardezi SJS",
"Factors Associated with Participation in Rheumatic Disease-Related Research among Underrepresented Populations: A Qualitative Systematic Review.","/pubmed/31350805","Lima K, Phillip CR, Williams J, Peterson J, Feldman CH, Ramsey-Goldman R.","Arthritis Care Res (Hoboken). 2019 Jul 26. doi: 10.1002/acr.24036. [Epub ahead of print]","Arthritis Care Res (Hoboken).  2019","PubMed","citation","PMID:31350805","pubmed","31350805","create date:2019/07/28 | first author:Lima K",
"A comparison of automated lesion segmentation approaches for chronic stroke T1-weighted MRI data.","/pubmed/31350795","Ito KL, Kim H, Liew SL.","Hum Brain Mapp. 2019 Jul 26. doi: 10.1002/hbm.24729. [Epub ahead of print]","Hum Brain Mapp.  2019","PubMed","citation","PMID:31350795","pubmed","31350795","create date:2019/07/28 | first author:Ito KL",
"Gastrointestinal Dysfunction in Critical Illness: A Review of Scoring Tools.","/pubmed/31350771","Asrani VM, Brown A, Huang W, Bissett I, Windsor JA.","JPEN J Parenter Enteral Nutr. 2019 Jul 26. doi: 10.1002/jpen.1679. [Epub ahead of print] Review.","JPEN J Parenter Enteral Nutr.  2019","PubMed","citation","PMID:31350771","pubmed","31350771","create date:2019/07/28 | first author:Asrani VM",
