,OSS,ORS,OS,OS - Taxonomy Code,Title,URL
4007,,X,,,"Pseudoaneurysm following ankle arth
roscopy: a systematic review of cas
e series.",/pubmed/30361987
4005,X,X,,,"Effect of physical interventions on
 physical performance and physical 
activity in older patients during h
ospitalization: a systematic review
.",/pubmed/30470205
4002,X,X,,,"Combining nerve and tendon transfer
s in tetraplegia: a proposal of a n
ew surgical strategy based on liter
ature review.",/pubmed/30542955
3996,,X,,,"Benchmarks of Duration and Magnitud
e of Opioid Consumption After Total
 Hip and Knee Arthroplasty: A Datab
ase Analysis of 69,368 Patients.",/pubmed/30642706
3977,X,X,,,"The Fragility Index in peri-operati
ve randomised trials that reported 
significant mortality effects in ad
ults.",/pubmed/31025706
3952,,X,,,"Meta-analysis of pain and function 
placebo responses in pharmacologica
l osteoarthritis trials.",/pubmed/31307506
3943,X,X,,,"Evidence-based prophylaxis strategi
es for postoperative nausea and vom
iting when considering ethnicity fa
ctor.",/pubmed/31307734
3927,,X,,,"Can alternate-day Statin regimen mi
nimize its adverse effects on muscl
e and tendon? A systematic review.",/pubmed/31308572
3920,X,X,,,"Virtual reality as an analgesic for
 acute and chronic pain in adults: 
a systematic review and meta-analys
is.",/pubmed/31308733
3916,,X,,,"Systematic review of the clinical e
ffectiveness for long-term follow-u
p of total hip arthroplasty.",/pubmed/31308766
3910,X,X,,,"A current appraisal of evidence for
 the approach to sepsis and septic 
shock.",/pubmed/31308945
3904,,X,,,"Quality and Variability of Online A
vailable Physical Therapy Protocols
 From Academic Orthopaedic Surgery 
Programs for Medial Patellofemoral 
Ligament Reconstruction.",/pubmed/31309124
3883,,X,,,"Repair of bone erosions in rheumato
id arthritis: a systematic literatu
re review.",/pubmed/31309850
3869,X,X,,,"Effectiveness of Neurostimulation T
echnologies for the Management of C
hronic Pain: A Systematic Review.",/pubmed/31310417
3844,,X,,,"Microfracture Versus Autologous Cho
ndrocyte Implantation for Articular
 Cartilage Lesions in the Knee: A S
ystematic Review of 5-Year Outcomes
.",/pubmed/28423287
3839,,X,,,"Establishing Maximal Medical Improv
ement After Arthroscopic Rotator Cu
ff Repair.",/pubmed/28650679
3804,,X,,,"Treatment of limb length discrepanc
y following total hip arthroplasty.
",/pubmed/29111811
3786,,X,,,"Accessibility of online self-manage
ment support websites for people wi
th osteoarthritis: A text content a
nalysis.",/pubmed/29254372
3755,,X,,,"Does Psychological Health Influence
 Hospital Length of Stay Following 
Total Knee Arthroplasty? A Systemat
ic Review.",/pubmed/29704508
3705,,X,,,"The effectiveness of backward walki
ng as a treatment for people with g
ait impairments: a systematic revie
w and meta-analysis.",/pubmed/30229667
3671,,X,,,"Biologic Therapies for the Treatmen
t of Knee Osteoarthritis.",/pubmed/30612835
3668,,X,,,"Terpenes as possible drugs for the 
mitigation of arthritic symptoms - 
A systematic review.",/pubmed/30668316
3667,,X,,,"Factor Xa Inhibitors and Direct Thr
ombin Inhibitors Versus Low-Molecul
ar-Weight Heparin for Thromboprophy
laxis After Total Hip or Total Knee
 Arthroplasty: A Systematic Review 
and Meta-Analysis.",/pubmed/30685261
3664,,X,,,"Preservation vs. resection of the i
nfrapatellar fat pad during total k
nee arthroplasty part II: A systema
tic review of published evidence.",/pubmed/30738721
3661,,X,,,"Clinical factors associated with su
ccessful meniscal root repairs: A s
ystematic review.",/pubmed/30772183
3660,,X,,,"No difference in outcomes between f
emoral fixation methods with hamstr
ing autograft in anterior cruciate 
ligament reconstruction - A network
 meta-analysis.",/pubmed/30773253
3649,,X,,,"Therapeutic Interventions for Scapu
lar Kinematics and Disability in Pa
tients With Subacromial Impingement
: A Systematic Review.",/pubmed/30829536
3647,X,X,,,"An enhanced recovery after surgery 
program in orthopedic surgery: a sy
stematic review and meta-analysis.",/pubmed/30866978
3621,X,X,,,"Survival analysis of intraoperative
 blood salvage for patients with ma
lignancy disease: A PRISMA-complian
t systematic review and meta-analys
is.",/pubmed/31277097
3615,,X,,,"The efficacy of ketamine supplement
ation on pain management for knee a
rthroscopy: A meta-analysis of rand
omized controlled trials.",/pubmed/31277113
3608,,X,,,"Cement augmentation of sacroiliac s
crews in fragility fractures of the
 pelvic ring-A synopsis and systema
tic review of the current literatur
e.",/pubmed/31301810
3505,X,X,,,"Effects of waiting for outpatient p
hysiotherapy services in persons wi
th musculoskeletal disorders: a sys
tematic review.",/pubmed/31304824
3483,,X,,,"The efficacy of fascia iliaca compa
rtment block for pain control after
 hip fracture: A meta-analysis.",/pubmed/31305398
3482,,X,,,"A comparison of the effects of elec
troacupuncture vs transcutaneous el
ectrical nerve stimulation for pain
 control in knee osteoarthritis: A 
protocol for network meta-analysis 
of randomized controlled trials.",/pubmed/31305408
3478,,X,,,"The effectiveness and safety of acu
puncture for knee osteoarthritis: A
n overview of systematic reviews.",/pubmed/31305415
3469,X,X,,,"Evidence for miniscalpel-needle/nee
dle knife in the management of chro
nic pain related conditions: A prot
ocol for systematic review and meta
-analysis.",/pubmed/31305481
3467,X,X,,,"Restrictive Transfusion Strategy an
d Clinical Decision Support Practic
es for Reducing RBC Transfusion Ove
ruse.",/pubmed/31305890
3424,,X,,,"Does routine surveillance imaging a
fter completing treatment for child
hood solid tumours cause more harm 
than good? A systematic review and 
meta-analysis protocol.",/pubmed/31300033
3411,,X,,,"Laboratory-based versus qualitative
 assessment of α-defensin in peripr
osthetic hip and knee infections: a
 systematic review and meta-analysi
s.",/pubmed/31300864
