,OSS,ORS,OS,OS - Taxonomy Code,Title,URL
6052,X,,,,"Ultrasonography for neuraxial block
s: a review of the evidence.",/pubmed/27827521
6044,X,X,,,"Effect of anesthesia methods on pos
toperative major adverse cardiac ev
ents and mortality after non-cardia
c surgeries: a systematic review an
d meta-analysis.",/pubmed/28402094
6025,X,,,,"Percutaneous radiofrequency ablatio
n of painful spinal metastasis: a s
ystematic literature assessment of 
analgesia and safety.",/pubmed/29308694
6024,X,,,,"The Effect of Ketorolac on Thoracol
umbar Posterolateral Fusion: A Syst
ematic Review and Meta-Analysis.",/pubmed/29351095
6004,X,,,,"Measurement Techniques and Utility 
of Hounsfield Unit Values for Asses
sment of Bone Quality Prior to Spin
al Instrumentation: A Review of Cur
rent Literature.",/pubmed/30063528
5824,X,X,,,"Supplemental Oxygen and the Risk of
 Surgical Site Infection: Evidence 
of Compromised Data Requires Correc
tion of Previously Published Meta-a
nalysis.",/pubmed/31343461
5813,X,,,,"Minimally Invasive Posterior Cervic
al Foraminotomy as an Alternative t
o Anterior Cervical Discectomy and 
Fusion for Unilateral Cervical Radi
culopathy: A Systematic Review and 
Meta-Analysis.",/pubmed/31343619
5811,X,,,,"The Effectiveness of Lumbar Transfo
raminal Injection of Steroid for th
e Treatment of Radicular Pain: A Co
mprehensive Review of the Published
 Data.",/pubmed/31343693
5809,X,X,,,"Is Virtual Reality Effective in Ort
hopedic Rehabilitation? A Systemati
c Review and Meta-Analysis.",/pubmed/31343702
5793,X,X,,,"Bone age assessment with various ma
chine learning techniques: A system
atic literature review and meta-ana
lysis.",/pubmed/31344143
5765,X,X,,,"A systematic review of feeding prac
tices among postoperative patients:
 is practice in-line with evidenced
-based guidelines?",/pubmed/28589624
5762,X,X,,,"Reduction in Operating Room Plasma 
Waste After Evidence-Based Quality 
Improvement Initiative.",/pubmed/28786842
5738,X,,,,"Meta-analysis of percutaneous trans
foraminal endoscopic discectomy vs.
 fenestration discectomy in the tre
atment of lumbar disc herniation.",/pubmed/29404628
5688,X,X,,,"ISPAD Clinical Practice Consensus G
uidelines 2018: Management of child
ren and adolescents with diabetes r
equiring surgery.",/pubmed/30039617
5656,X,X,,,"Behaviour change techniques applied
 in interventions to enhance physic
al activity adherence in patients w
ith chronic musculoskeletal conditi
ons: A systematic review and meta-a
nalysis.",/pubmed/30279029
5593,X,,,,"Baduanjin exercise for low back pai
n: A systematic review and meta-ana
lysis.",/pubmed/30935517
5539,X,,,,"Rehabilitation interventions in ran
domized controlled trials for low b
ack pain: proof of statistical sign
ificance often is not relevant.",/pubmed/31331343
5537,X,,,,"Open versus minimally invasive TLIF
: literature review and meta-analys
is.",/pubmed/31331364
5535,X,,,,"Occipital nerve stimulation for non
-migrainous chronic headaches: a sy
stematic review protocol.",/pubmed/31331392
