,OSS,ORS,OS,OS - Taxonomy Code,Title,URL
9292,,,,,"Bayesian bivariate meta-analysis of
 correlated effects: Impact of the 
prior distributions on the between-
study correlation, borrowing of str
ength, and joint inferences.",/pubmed/26988929
9291,,,,,"Extrapolation of efficacy and other
 data to support the development of
 new medicines for children: A syst
ematic review of methods.",/pubmed/26994211
9290,,,,,"Methods for meta-analysis of pharma
codynamic dose-response data with a
pplication to multi-arm studies of 
alogliptin.",/pubmed/26994216
9289,,,,,"Role of the dorsal anterior cingula
te cortex in obsessive-compulsive d
isorder: converging evidence from c
ognitive neuroscience and psychiatr
ic neurosurgery.",/pubmed/27035167
9288,,,,,"Hemorrhage from cerebral cavernous 
malformations: a systematic pooled 
analysis.",/pubmed/27203143
9287,,,,,"Microvascular decompression for tin
nitus: systematic review.",/pubmed/27203146
9286,,,,,"[Pharmacological prophylactic treat
ment for relapse of alcohol depende
nce : Results of current meta-analy
ses].",/pubmed/27278059
9285,,,,,"Twenty Years of the Cochrane Tobacc
o Addiction Group: Past, Present, a
nd Future.",/pubmed/27798085
9284,,,,,"The current evidence on statin use 
and prostate cancer prevention: are
 we there yet?",/pubmed/27779230
9283,,,,,"The effects of the music-with-movem
ent intervention on the cognitive f
unctions of people with moderate de
mentia: a randomized controlled tri
al.",/pubmed/27819483
9282,,,,,"Randomized controlled trials in neu
rosurgery: an observational analysi
s of trial discontinuation and publ
ication outcome.",/pubmed/27885950
9281,,,,,"Microvascular decompression of the 
cochleovestibular nerve for treatme
nt of tinnitus and vertigo: a syste
matic review and meta-analysis of i
ndividual patient data.",/pubmed/27911239
9280,,,,,"Incidence of sternal wound infectio
n after tracheostomy in patients un
dergoing cardiac surgery: A systema
tic review and meta-analysis.",/pubmed/27964980
9279,,,,,"Religion, Spirituality, and HIV Cli
nical Outcomes: A Systematic Review
 of the Literature.",/pubmed/28004218
9278,,,,,"A systematic review and meta-analys
is of in situ versus composite bila
teral internal thoracic artery graf
ting.",/pubmed/28017369
9277,,,,,"Trigeminal neuralgia and neuropathy
 in large sporadic vestibular schwa
nnomas.",/pubmed/28084915
9276,,,,,"Systematic review and meta-analysis
 of randomized controlled trials as
sessing safety and efficacy of post
erior pericardial drainage in patie
nts undergoing heart surgery.",/pubmed/28087110
9275,,,,,"A risk score to predict the inciden
ce of prolonged air leak after vide
o-assisted thoracoscopic lobectomy:
 An analysis from the European Soci
ety of Thoracic Surgeons database.",/pubmed/28089646
9274,,,,,"Measuring trade-offs in nephrology:
 a systematic review of discrete ch
oice experiments and conjoint analy
sis studies.",/pubmed/28158746
9273,,,,,"Homology-guided mutational analysis
 reveals the functional requirement
s for antinociceptive specificity o
f collapsin response mediator prote
in 2-derived peptides.",/pubmed/28161890
9272,,,,,"Clinical Effectiveness and Cost-eff
ectiveness of Target Therapies for 
Adult Patients with Locally Advance
d or Metastatic Non-small Cell Lung
 Cancer: A Systematic Review.",/pubmed/28176647
9271,,,,,"Melanoma Adjuvant Treatment: Curren
t Insight and Clinical Features.",/pubmed/28183255
9270,,,,,"Evidence-based medicine meets democ
racy: the role of evidence-based pu
blic health guidelines in local gov
ernment.",/pubmed/28184452
9269,,,,,"2016 update to The American Associa
tion for Thoracic Surgery consensus
 guidelines: Ischemic mitral valve 
regurgitation.",/pubmed/28190606
9268,,,,,"BCG-unresponsive non-muscle-invasiv
e bladder cancer: recommendations f
rom the IBCG.",/pubmed/28248951
9267,,,,,"Limited Evidence Suggests that Pres
urgical Orthodontics May not Be Nee
ded for Orthognathic Surgery Patien
ts.",/pubmed/28259312
9266,,,,,"Self-reported Dental Anxiety is Ass
ociated With Both State Anxiety and
 Dental Procedure-Related Pain.",/pubmed/28259314
9265,,,,,"Clinical Practice Guidelines Propos
ed the Use of Pit and Fissure Seala
nts to Prevent and Arrest Noncavita
ted Carious Lesions.",/pubmed/28259315
9264,,,,,"Individuals Who Brush Their Teeth I
nfrequently May Be at Greater Risk 
for New Carious Lesions.",/pubmed/28259316
9263,,,,,"Some But Not All Psychosocial Facto
rs Are Correlated With Oral Hygiene
 Behavior Among Children Age 9 to 1
9 Years.",/pubmed/28259317
9262,,,,,"The Use of Adhesive Systems Under F
issure Sealants Improves Their Rete
ntion, With Etch-and-Rinse Performi
ng Better Than Self-Etching Adhesiv
e Systems.",/pubmed/28259318
9261,,,,,"Alcohol Consumption May Increase th
e Risk for Periodontal Disease in S
ome Adult Populations.",/pubmed/28259319
9260,,,,,"Expert consensus guidelines: Anomal
ous aortic origin of a coronary art
ery.",/pubmed/28274557
